Size, Seed, Level, Seq, Par, Libc
10000, 61049880, 2, 0.001503, 0.000944, 0.001463
100000, 15681689, 8, 0.018215, 0.013818, 0.019596
1000000, 35813594, 6, 0.238474, 0.065265, 0.226408
100000, 9347130, 10, 0.017872, 0.044079, 0.018129
100000, 9347130, 8, 0.017713, 0.011809, 0.017946
10000, 93358900, 2, 0.001487, 0.001146, 0.001521
10000, 35823625, 10, 0.001546, 0.046572, 0.001397
1000000, 69516193, 2, 0.225484, 0.199503, 0.226884
100, 4936171, 6, 0.000009, 0.001613, 0.000012
100000, 20262078, 8, 0.017904, 0.013087, 0.018485
100, 35975500, 4, 0.000012, 0.000593, 0.000012
1000, 84764184, 4, 0.000107, 0.000593, 0.000122
100, 12942730, 6, 0.000008, 0.002200, 0.000011
1000, 84764184, 6, 0.000117, 0.001962, 0.000128
10000, 56490710, 2, 0.001366, 0.001081, 0.001396
1000, 10849390, 6, 0.000107, 0.002188, 0.000128
100000, 94114917, 6, 0.017893, 0.006968, 0.019711
1000, 51378306, 8, 0.000114, 0.005352, 0.000140
10000, 26075799, 8, 0.001338, 0.010054, 0.001424
10000, 43347446, 6, 0.001434, 0.002577, 0.001420
