Size, Seq, Par, Libc
613696, 0.123875, 0.069951, 0.140132
184268, 0.034228, 0.075920, 0.037412
429782, 0.088077, 0.069074, 0.088198
127305, 0.023161, 0.059939, 0.024807
387927, 0.081953, 0.068616, 0.078868
349617, 0.067794, 0.064741, 0.070297
54205, 0.008874, 0.058631, 0.009224
465950, 0.094749, 0.072066, 0.100544
496343, 0.096312, 0.079198, 0.101934
82062, 0.014326, 0.063877, 0.015796
455827, 0.094600, 0.068601, 0.093092
349503, 0.067972, 0.065364, 0.069003
851649, 0.172684, 0.088171, 0.179720
15159, 0.002193, 0.053107, 0.002349
111296, 0.019496, 0.075611, 0.021537
854164, 0.177217, 0.079091, 0.182168
182322, 0.032922, 0.070483, 0.037602
110038, 0.020674, 0.064921, 0.020422
594984, 0.122350, 0.087311, 0.126969
907518, 0.183092, 0.097393, 0.196062
516109, 0.102211, 0.067959, 0.112698
64268, 0.010908, 0.036479, 0.011311
521021, 0.104514, 0.061998, 0.124977
934737, 0.193377, 0.091986, 0.203890
549079, 0.108760, 0.068369, 0.113057
725613, 0.147618, 0.070155, 0.152771
498730, 0.099840, 0.078253, 0.107713
608185, 0.120364, 0.066392, 0.131781
77394, 0.013271, 0.065710, 0.013745
440293, 0.087096, 0.069270, 0.098448
775788, 0.159557, 0.070095, 0.173096
326924, 0.062359, 0.051553, 0.065448
526418, 0.104658, 0.088979, 0.108145
938463, 0.193777, 0.074637, 0.206938
807651, 0.164842, 0.084685, 0.172786
463835, 0.093253, 0.083413, 0.094719
570424, 0.113001, 0.063742, 0.129982
443400, 0.085520, 0.071798, 0.089403
166211, 0.030072, 0.099181, 0.032970
985547, 0.208361, 0.090673, 0.218484
248120, 0.045173, 0.063020, 0.050870
382215, 0.075641, 0.047085, 0.075788
183324, 0.032817, 0.071029, 0.037367
578728, 0.120923, 0.078292, 0.129121
741788, 0.163677, 0.069178, 0.162291
16248, 0.002444, 0.025768, 0.002625
456956, 0.096927, 0.054060, 0.094725
672671, 0.137561, 0.081032, 0.151167
66982, 0.011515, 0.051116, 0.011803
920897, 0.192129, 0.071541, 0.206035
643220, 0.128683, 0.071391, 0.133848
530949, 0.104949, 0.066445, 0.116762
32307, 0.005147, 0.066417, 0.005432
939, 0.000124, 0.015359, 0.000115
838843, 0.176709, 0.082563, 0.182908
970635, 0.202889, 0.077275, 0.211397
290777, 0.057708, 0.052557, 0.060802
746510, 0.151249, 0.097300, 0.159065
638983, 0.129497, 0.087492, 0.134774
726318, 0.147993, 0.077172, 0.159408
931922, 0.193998, 0.085426, 0.203706
313035, 0.059629, 0.068925, 0.062213
195378, 0.036340, 0.061939, 0.040345
554953, 0.116049, 0.063819, 0.121902
35224, 0.005649, 0.054676, 0.005786
852094, 0.172818, 0.071766, 0.180039
317739, 0.058879, 0.071884, 0.068555
729000, 0.149640, 0.057847, 0.154653
949603, 0.198699, 0.077235, 0.209195
283195, 0.053802, 0.060064, 0.058232
126435, 0.024660, 0.068089, 0.023467
120225, 0.021180, 0.049930, 0.021923
951684, 0.195027, 0.094531, 0.205328
728358, 0.152494, 0.070744, 0.154028
890507, 0.184645, 0.084114, 0.196531
506636, 0.101180, 0.071830, 0.103211
840609, 0.175946, 0.073817, 0.180561
715102, 0.148269, 0.071419, 0.152087
868789, 0.179214, 0.071174, 0.186963
357136, 0.067183, 0.064925, 0.076299
805790, 0.169562, 0.090236, 0.178791
964727, 0.207864, 0.092671, 0.211774
405254, 0.078037, 0.067585, 0.086492
714827, 0.146479, 0.062642, 0.149120
486071, 0.093973, 0.083661, 0.102253
449375, 0.086895, 0.063443, 0.091028
522692, 0.102888, 0.060580, 0.107091
991313, 0.207698, 0.095315, 0.457763
24448, 0.004936, 0.045992, 0.003916
877067, 0.388725, 0.071716, 0.299387
918260, 0.200349, 0.114178, 0.324897
553543, 0.153363, 0.115790, 0.151600
423215, 0.084893, 0.059050, 0.087804
654482, 0.132892, 0.066683, 0.135580
387892, 0.075008, 0.046693, 0.077294
935031, 0.192548, 0.085114, 0.200657
950635, 0.201150, 0.084225, 0.213339
675272, 0.134112, 0.068539, 0.141695
291983, 0.054970, 0.069380, 0.058084
491713, 0.098418, 0.065806, 0.102562
1293, 0.000146, 0.012678, 0.000181
36360, 0.005933, 0.065757, 0.006157
982130, 0.205664, 0.076007, 0.221510
208266, 0.037945, 0.056987, 0.040734
20052, 0.003161, 0.038999, 0.003212
546518, 0.109664, 0.099766, 0.119803
955124, 0.197562, 0.079500, 0.200822
884199, 0.178053, 0.103661, 0.191054
832774, 0.171059, 0.080164, 0.176100
493779, 0.099117, 0.077362, 0.100634
994016, 0.206231, 0.097377, 0.222839
855803, 0.175782, 0.076921, 0.189999
457862, 0.089699, 0.064290, 0.103089
217301, 0.041468, 0.057051, 0.043180
578793, 0.119267, 0.079159, 0.119389
356230, 0.071342, 0.089035, 0.081606
394366, 0.077501, 0.047768, 0.091961
332906, 0.065170, 0.063128, 0.066450
90259, 0.015979, 0.057957, 0.017079
83038, 0.014773, 0.068664, 0.015749
453107, 0.097774, 0.088495, 0.092577
935812, 0.197622, 0.069740, 0.199147
323461, 0.063650, 0.075218, 0.066357
982745, 0.203969, 0.086320, 0.212456
86363, 0.015199, 0.075996, 0.017121
469923, 0.102111, 0.063841, 0.096870
998444, 0.207719, 0.073496, 0.224089
290520, 0.054832, 0.061156, 0.060957
942351, 0.196067, 0.089432, 0.216515
305184, 0.059038, 0.073565, 0.066732
389076, 0.082699, 0.078698, 0.081863
128121, 0.022817, 0.036552, 0.024148
137086, 0.026024, 0.063275, 0.027271
